Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Previous_Scores,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Exam_Score,Parental_Involvement_Encoded,Access_to_Resources_Encoded,Extracurricular_Activities_Encoded,Motivation_Level_Encoded,Internet_Access_Encoded,Family_Income_Encoded,Teacher_Quality_Encoded,School_Type_Encoded,Peer_Influence_Encoded,Learning_Disabilities_Encoded,Parental_Education_Level_Encoded,Distance_from_Home_Encoded,Gender_Encoded,Study_Attendance_Product,Study_Sleep_Balance,Academic_Support_Index,Home_Support_Index,Wellbeing_Index
23,84,Low,High,No,7,73,Low,Yes,0,Low,Medium,Public,Positive,3,No,High School,Near,Male,67,1,3,0,1,1,1,2,0,1,0,1,3,1,1932,3.2857142857142856,6,3,10
19,64,Low,Medium,No,8,59,Low,Yes,2,Medium,Medium,Public,Negative,4,No,College,Moderate,Female,61,1,2,0,1,1,2,2,0,-1,0,2,2,0,1216,2.375,7,5,12
24,98,Medium,Medium,Yes,7,91,Medium,Yes,2,Medium,Medium,Public,Neutral,4,No,Postgraduate,Near,Male,74,2,2,1,2,1,2,2,0,0,0,3,3,1,2352,3.4285714285714284,7,7,11
29,89,Low,Medium,Yes,8,98,Medium,Yes,1,Medium,Medium,Public,Negative,4,No,High School,Moderate,Male,71,1,2,1,2,1,2,2,0,-1,0,1,2,1,2581,3.625,6,4,12
19,92,Medium,Medium,Yes,6,65,Medium,Yes,3,Medium,High,Public,Neutral,4,No,College,Near,Female,70,2,2,1,2,1,2,3,0,0,0,2,3,0,1748,3.1666666666666665,9,6,10
19,88,Medium,Medium,Yes,8,89,Medium,Yes,3,Medium,Medium,Public,Positive,3,No,Postgraduate,Near,Male,71,2,2,1,2,1,2,2,0,1,0,3,3,1,1672,2.375,8,7,11
29,84,Medium,Low,Yes,7,68,Low,Yes,1,Low,Medium,Private,Neutral,2,No,High School,Moderate,Male,67,2,1,1,1,1,1,2,1,0,0,1,2,1,2436,4.142857142857143,5,4,9
25,78,Low,High,Yes,6,50,Medium,Yes,1,High,High,Public,Negative,2,No,High School,Far,Male,66,1,3,1,2,1,3,3,0,-1,0,1,1,1,1950,4.166666666666667,8,5,8
17,94,Medium,High,No,6,80,High,Yes,0,Medium,Low,Private,Neutral,1,No,College,Near,Male,69,2,3,0,3,1,2,1,1,0,0,2,3,1,1598,2.8333333333333335,5,6,7
23,98,Medium,Medium,Yes,8,71,Medium,Yes,0,High,High,Public,Positive,5,No,High School,Moderate,Male,72,2,2,1,2,1,3,3,0,1,0,1,2,1,2254,2.875,6,6,13
17,80,Low,High,No,8,88,Medium,No,4,Medium,High,Private,Neutral,4,No,College,Moderate,Male,68,1,3,0,2,0,2,3,1,0,0,2,2,1,1360,2.125,10,5,12
17,97,Medium,High,Yes,6,87,Low,Yes,2,Low,High,Private,Neutral,2,No,High School,Near,Male,71,2,3,1,1,1,1,3,1,0,0,1,3,1,1649,2.8333333333333335,9,4,8
21,83,Medium,Medium,Yes,8,97,Low,Yes,2,Medium,Medium,Public,Positive,4,No,High School,Near,Male,70,2,2,1,1,1,2,2,0,1,0,1,3,1,1743,2.625,7,5,12
9,82,Medium,Medium,Yes,8,72,Medium,Yes,2,Medium,Medium,Private,Positive,3,No,Postgraduate,Near,Male,66,2,2,1,2,1,2,2,1,1,0,3,3,1,738,1.125,7,7,11
10,78,Medium,High,Yes,8,74,Medium,Yes,1,Low,Medium,Private,Neutral,4,No,Postgraduate,Near,Male,65,2,3,1,2,1,1,2,1,0,0,3,3,1,780,1.25,7,6,12
17,68,Medium,Medium,No,8,70,Medium,Yes,2,Medium,Medium,Private,Positive,4,No,High School,Near,Female,64,2,2,0,2,1,2,2,1,1,0,1,3,0,1156,2.125,7,5,12
14,60,Medium,Low,Yes,10,65,Low,Yes,0,High,Medium,Private,Positive,3,No,College,Near,Male,60,2,1,1,1,1,3,2,1,1,0,2,3,1,840,1.4,4,7,13
22,70,Low,Medium,Yes,6,82,Medium,Yes,1,Low,High,Public,Neutral,3,No,High School,Near,Female,65,1,2,1,2,1,1,3,0,0,0,1,3,0,1540,3.6666666666666665,7,3,9
